交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,忠孝東路三段２４８巷１９弄５０號六樓之１,6.0,12.0,1,27.67,1147908,6.07,411862.0,25.04019,121.542919,忠孝復興站出口2,128,有電梯_7樓以下
房地(土地+建物)+車位,指南路三段７７巷１號七樓,7.0,14.0,1,51.67,653797,10.37,0.0,24.982778,121.580366,動物園站出口2,1693,有電梯_7樓以下
房地(土地+建物)+車位,中華路二段３６４巷２６號六樓,6.0,12.0,1,53.25,729738,0.0,,25.02868,121.50377,龍山寺站出口3,780,有電梯_7樓以下
房地(土地+建物)+車位,舊莊街一段２６５號五樓,5.0,7.0,1,26.88,862043,6.23,0.0,25.037379,121.623682,南港展覽館站出口7,1934,有電梯_7樓以下
房地(土地+建物)+車位,實踐街８４號六樓,6.0,30.0,1,55.69,721851,0.0,,25.115199,121.510824,石牌站出口1,447,有電梯_7樓以下
房地(土地+建物),遼寧街８１巷１號六樓,6.0,41.0,1,47.85,794209,0.0,,25.049626,121.54266,南京復興站出口3,243,有電梯_7樓以下
房地(土地+建物),吳興街２８４巷５９弄１號四樓,4.0,32.0,1,14.01,650308,0.0,,25.022287,121.563469,麟光站出口,642,有電梯_7樓以下
房地(土地+建物),延吉街３０巷１１號三樓,3.0,47.0,1,37.0,710777,0.0,,25.046074,121.552794,忠孝敦化站出口2,506,有電梯_7樓以下
房地(土地+建物)+車位,康寧路三段７０巷１０號七樓,7.0,19.0,1,40.55,963139,13.56,184366.0,25.069195,121.611501,東湖站出口2,224,有電梯_7樓以下
房地(土地+建物)+車位,三合街一段８２巷１２７號五樓,5.0,6.0,1,56.35,872089,12.91,216886.0,25.129763,121.504527,奇岩站出口1,540,有電梯_7樓以下
房地(土地+建物),三民路７４巷５號七樓之２,7.0,33.0,1,34.76,900455,0.0,,25.05586,121.564356,南京三民站出口4,476,有電梯_7樓以下
房地(土地+建物)+車位,寶清街１０１巷３３號七樓,7.0,7.0,1,24.61,731280,0.0,,25.052927,121.568766,南京三民站出口4,435,有電梯_7樓以下
