交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,萬大路４２３巷５２號十二樓之２,12.0,14.0,1,57.26,551838,0.0,,25.021721,121.501448,龍山寺站出口2,1498,有電梯_7樓以上
房地(土地+建物)+車位,木柵路四段１５３號九樓之１,9.0,23.0,1,54.56,645766,13.37,164547.0,24.999095,121.575052,木柵站出口,194,有電梯_7樓以上
房地(土地+建物)+車位,南京東路六段１４８號十二樓,12.0,15.0,1,30.43,761299,2.61,574713.0,25.055209,121.578849,松山站出口5,528,有電梯_7樓以上
房地(土地+建物)+車位,基河路３００巷２７號十樓,10.0,1.0,1,74.1,909723,9.14,240700.0,25.093602,121.518436,士林站出口1,760,有電梯_7樓以上
房地(土地+建物)+車位,福興路１０６巷２８弄１號十樓之２,10.0,12.0,1,32.98,614459,11.01,190736.0,25.006575,121.550103,辛亥站出口,716,有電梯_7樓以上
房地(土地+建物)+車位,金湖路１２５號八樓,8.0,9.0,1,130.51,896953,26.15,321224.0,25.080364,121.598135,內湖站出口2,508,有電梯_7樓以上
房地(土地+建物)+車位,政大二街１１７號九樓,9.0,25.0,1,45.5,408801,0.0,,24.988239,121.583216,動物園站出口2,1151,有電梯_7樓以上
房地(土地+建物),健康路１７４之１號十樓,10.0,44.0,1,18.02,893457,0.0,,25.053719,121.558693,南京三民站出口1,510,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２１巷２０號十三樓之１,13.0,26.0,1,58.53,411202,0.0,,25.009077,121.559216,辛亥站出口,493,有電梯_7樓以上
房地(土地+建物)+車位,萬大路４２３巷５２號十二樓之２,12.0,14.0,1,57.26,515165,0.0,,25.021721,121.501448,龍山寺站出口2,1498,有電梯_7樓以上
房地(土地+建物)+車位,堤頂大道二段２４６巷１２號八樓,8.0,19.0,1,161.3,1171716,0.0,,25.077261,121.566057,西湖站出口2,541,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２０９巷２８號二十五樓,25.0,2.0,1,51.48,742671,0.0,,25.002049,121.556344,萬芳醫院站出口,328,有電梯_7樓以上
房地(土地+建物)+車位,迪化街二段１５８號十一樓之１,11.0,1.0,1,51.55,686017,9.71,278064.0,25.066822,121.510066,大橋頭站出口1A,423,有電梯_7樓以上
房地(土地+建物)+車位,建國北路三段７１號十二樓之３,12.0,6.0,1,33.53,812533,8.01,474407.0,25.065123,121.537204,行天宮站出口4,678,有電梯_7樓以上
房地(土地+建物),敦化南路二段１４６巷２號十二樓,12.0,37.0,1,34.66,775457,0.0,,25.02545,121.54821,科技大樓站出口,467,有電梯_7樓以上
房地(土地+建物),福興路１０６巷３３號十樓,10.0,9.0,1,39.39,583972,0.0,,25.006831,121.550054,辛亥站出口,727,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段１６６巷２９號八樓,8.0,3.0,1,32.42,779861,8.05,186335.0,25.004527,121.555289,辛亥站出口,187,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路四段２０９巷１８號二十三樓,23.0,2.0,1,51.48,760018,10.0,280000.0,25.002131,121.556066,辛亥站出口,346,有電梯_7樓以上
房地(土地+建物)+車位,市民大道三段１８０號八樓,8.0,6.0,1,113.24,1101095,15.0,0.0,25.044465,121.53744,忠孝新生站出口4,481,有電梯_7樓以上
房地(土地+建物)+車位,關渡路４８號二十樓,20.0,9.0,1,143.99,683465,27.52,0.0,25.120481,121.469064,關渡站出口1,581,有電梯_7樓以上
