交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,木柵路四段１５９巷１６弄７７號,,33.0,0,101.73,378439,0.0,,25.004048,121.576377,木柵站出口,718,樓層未顯示或多層樓
房地(土地+建物),萬大路４８６巷５９弄５８號,,63.0,0,24.02,832483,0.0,,25.01944,121.495132,中原站出口,1651,樓層未顯示或多層樓
房地(土地+建物),杏林三路４０巷１弄３號,,58.0,0,32.89,456013,0.0,,25.141736,121.497404,新北投站出口2,745,樓層未顯示或多層樓
房地(土地+建物),永吉路１８０巷５４弄２號,,59.0,0,18.02,1236619,0.0,,25.043903,121.571359,永春站出口1,498,樓層未顯示或多層樓
房地(土地+建物),福興路４巷１５弄３４號,,40.0,0,43.31,521371,0.0,,25.004326,121.551638,辛亥站出口,550,樓層未顯示或多層樓
房地(土地+建物)+車位,奇岩路２３４號,,24.0,0,152.45,327968,0.0,,25.127576,121.509836,唭哩岸站出口1,818,樓層未顯示或多層樓
房地(土地+建物),中和街４４１巷３弄１２號,,52.0,0,27.59,942440,0.0,,25.14317,121.497658,新北投站出口2,854,樓層未顯示或多層樓
房地(土地+建物),南京東路五段２９１巷３８弄２７號,,60.0,0,19.94,1564634,0.0,,25.053171,121.565496,南京三民站出口4,193,樓層未顯示或多層樓
房地(土地+建物),通化街１４０之１號,,36.0,0,24.46,1144862,0.0,,25.029034,121.553619,信義安和站出口2A,437,樓層未顯示或多層樓
房地(土地+建物),富民路１４５巷３２號,,59.0,0,23.23,1571111,0.0,,25.018676,121.50081,頂溪站出口2,1556,樓層未顯示或多層樓
