交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),信義路三段１４７巷１５弄７之１號,1.0,43.0,有,37.64,1434643,0.0,,25.035172,121.542221
房地(土地+建物)+車位,吳興街６００巷６０之５號,1.0,2.0,有,18.7,1365465,4.06,0.0,25.019761,121.57028
房地(土地+建物),大度路三段２７０巷６７號十四樓,14.0,11.0,有,22.36,639513,0.0,,25.125296,121.4673
房地(土地+建物)+車位,瑞安街２０８巷３９號四樓之５,4.0,8.0,有,22.99,1127984,3.42,584795.0,25.029726,121.540643
房地(土地+建物)+車位,木柵路一段５８巷２８號三樓,3.0,28.0,有,63.56,416941,0.0,,24.986375,121.548168
房地(土地+建物)+車位,吳興街４４９巷２弄６號三樓,3.0,20.0,有,38.2,793264,0.0,,25.024124,121.568859
房地(土地+建物)+車位,和平西路二段１４８號十一樓之１,11.0,25.0,有,39.03,796385,9.92,252016.0,25.032784,121.505833
房地(土地+建物),興隆路一段２５１巷１弄５號,1.0,49.0,無,33.7,741741,0.0,,24.999876,121.544324
房地(土地+建物),民權東路二段１３５巷２９弄８號二樓,2.0,36.0,有,35.14,553479,0.0,,25.06411,121.535662
房地(土地+建物),永康街３７巷３２號二樓,2.0,39.0,無,32.16,971560,0.0,,25.030887,121.530927
房地(土地+建物),浦城街６巷２４號五樓,5.0,15.0,有,13.75,1073563,0.0,,25.023963,121.525605
房地(土地+建物),新民路５７號五樓之１,5.0,9.0,有,23.74,547595,0.0,,25.140355,121.511212
房地(土地+建物),陽光街９２巷１８弄５號,1.0,40.0,無,21.24,700515,0.0,,25.075797,121.585476
房地(土地+建物)+車位,光復南路２９０巷２８號十樓,10.0,11.0,有,79.21,1264537,11.85,0.0,25.03945,121.55639
房地(土地+建物),虎林街２１２巷３１號三樓,3.0,53.0,無,26.23,686165,0.0,,25.037151,121.576335
房地(土地+建物),玉成街２０１巷６號二樓,2.0,45.0,無,41.38,531633,0.0,,25.044458,121.585373
房地(土地+建物)+車位,中央北路四段５４１巷９號十八樓,18.0,1.0,有,41.83,749823,12.59,214456.0,25.12756,121.468445
房地(土地+建物),芝玉路一段１９７巷２號四樓,4.0,37.0,無,24.49,502238,0.0,,25.107615,121.533276
房地(土地+建物)+車位,長春路２５８巷２６號二樓之３,2.0,20.0,有,28.97,748837,15.21,144642.0,25.053567,121.538976
房地(土地+建物),士東路２００巷８３號四樓,4.0,46.0,無,25.19,571675,0.0,,25.109983,121.534169
房地(土地+建物),通河街３２３巷２７之１號,1.0,52.0,無,10.88,498120,0.0,,25.08131,121.518632
房地(土地+建物),信義路二段１６１巷２弄１號三樓之３,3.0,14.0,有,9.34,1444745,0.0,,25.034415,121.528664
房地(土地+建物)+車位,康寧路一段１９５巷３弄１６號二樓,2.0,29.0,無,43.32,484754,0.0,,25.079334,121.597618
房地(土地+建物),大直街２１巷４號三樓,3.0,41.0,無,31.76,727343,0.0,,25.081667,121.547108
房地(土地+建物),景興路１７７巷２０號五樓,5.0,26.0,有,28.83,572236,0.0,,24.992612,121.545386
房地(土地+建物)+車位,康樂街１３６巷３０弄６９號六樓,6.0,26.0,有,25.14,465436,0.0,,25.071034,121.617743
房地(土地+建物),忠孝東路五段４２３巷６弄１７號二樓,2.0,34.0,無,30.42,641039,0.0,,25.041828,121.576204
房地(土地+建物),敦化北路１４５巷２３弄３號四樓之２,4.0,2.0,有,21.75,1309720,0.0,,25.053206,121.550469
房地(土地+建物)+車位,承德路三段３０１巷２２號四樓之１,4.0,1.0,有,21.77,781451,4.05,296296.0,25.075657,121.521353
房地(土地+建物),文德路２２巷２７弄４號三樓,3.0,41.0,無,31.71,473022,0.0,,25.076595,121.58
房地(土地+建物),大南路３１０號二樓,2.0,52.0,無,19.34,475579,0.0,,25.088895,121.518788
房地(土地+建物),和興路２６巷７號七樓,7.0,14.0,有,24.96,611070,0.0,,24.985387,121.545821
房地(土地+建物)+車位,民權東路六段１３３號十樓,10.0,16.0,有,93.42,715899,0.0,,25.06914,121.593798
房地(土地+建物),後港街３３號三樓,3.0,38.0,有,35.19,704750,0.0,,25.083555,121.523016
房地(土地+建物),德行東路１９０巷３１弄１６號五樓,5.0,40.0,無,45.5,503308,0.0,,25.107609,121.532509
房地(土地+建物)+車位,明水路５６３號四樓,4.0,28.0,有,81.72,929079,29.33,170474.0,25.079397,121.551775
房地(土地+建物)+車位,堤頂大道二段２４６巷１號十一樓,11.0,16.0,有,81.09,962384,10.43,0.0,25.077655,121.566335
房地(土地+建物),興隆路二段２５１號九樓,9.0,4.0,有,15.12,760484,0.0,,25.001976,121.551646
房地(土地+建物)+車位,木柵路四段１５９巷１６弄７１號三樓,3.0,30.0,有,65.0,370763,0.0,,25.003994,121.576048
房地(土地+建物),興德路１５號三樓,3.0,53.0,無,29.15,535416,0.0,,25.000994,121.555557
房地(土地+建物),永吉路１２０巷２０號七樓之２,7.0,16.0,有,13.33,975602,0.0,,25.044779,121.570191
房地(土地+建物),龍泉街６９號六樓,6.0,11.0,有,31.34,1053104,0.0,,25.022811,121.529356
房地(土地+建物),行善路５號四樓,4.0,25.0,有,37.23,598098,0.0,,25.055899,121.57492
房地(土地+建物)+車位,中山北路七段２１９巷６之２號六樓,6.0,37.0,有,52.0,605738,0.0,,25.127036,121.532459
房地(土地+建物),忠孝東路五段７４３巷２１弄１５號,1.0,49.0,無,21.62,1017451,0.0,,25.043756,121.580426
房地(土地+建物),泉源路３９之５５號五樓,5.0,36.0,有,17.09,298399,0.0,,25.141441,121.50715
房地(土地+建物)+車位,景豐街６８號十一樓,11.0,16.0,有,57.89,727482,10.88,257353.0,25.001088,121.545372
房地(土地+建物),三元街２１６號四樓之２,4.0,27.0,有,10.28,809661,0.0,,25.027471,121.51248
房地(土地+建物),木新路二段２４７號三樓,3.0,,無,25.54,455026,0.0,,24.983272,121.567033
房地(土地+建物),中山北路七段１１４巷１２號三樓,3.0,45.0,無,58.81,476143,0.0,,25.122018,121.532692
房地(土地+建物),吳興街２８４巷５之２號,1.0,37.0,無,31.79,670093,0.0,,25.025498,121.563969
房地(土地+建物),芝玉路一段１９７巷２號三樓,3.0,37.0,無,24.49,599419,0.0,,25.107615,121.533276
房地(土地+建物),萬大路４２４巷１５３號二樓,2.0,51.0,無,20.73,465570,0.0,,25.020702,121.494077
房地(土地+建物)+車位,瑞安街２０８巷３９號五樓之１,5.0,8.0,有,16.57,1100156,3.42,730994.0,25.029726,121.540643
房地(土地+建物),建國南路一段１６０號九樓之２,9.0,46.0,有,52.57,703845,0.0,,25.041062,121.536977
