鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,年度
萬華區,建物,開封街二段４２巷６弄６號,0.0,,,,1120210,土地0建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,,68.16,3,0,0,有,無,4500000,66021.0,,0.0,0,,RPROMLRJMHIGFBA67DA,68.16,0.0,0.0,無,,,112
大同區,房地(土地+建物),蘭州街１１０號,31.0,住,,,1120223,土地1建物1車位0,全,一層,透天厝,住家用,,29.79,1,1,1,有,無,22291022,748272.0,,0.0,0,為土地法第34條之1移轉案件,RPSNMLNKMHIGFBA47EA,29.79,0.0,0.0,無,,,112
松山區,房地(土地+建物),八德路四段７２巷１０弄３號,32.25,住,,,1120202,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,,78.32,4,0,4,有,無,17980000,229571.0,,0.0,0,,RPTPMLMLLHIGFDA77DA,78.32,0.0,0.0,無,1800.0,,112
大同區,房地(土地+建物),哈密街２０巷２號三樓,32.33,住,,,1120115,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,,79.71,2,2,1,有,無,15250000,191319.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPOOMLKLKHIGFBA66DA,79.71,0.0,0.0,無,1874.0,,112
文山區,房地(土地+建物),興隆路四段２９巷２弄２８號四樓,25.98,住,,,1120114,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,72.87,2,2,1,有,無,9700000,133114.0,,0.0,0,陽台外推；其他增建；,RPPOMLMLLHIGFAA96DA,62.53,0.0,10.34,無,,,112
南港區,房地(土地+建物),重陽路２９２巷１號,67.0,住,,,1120110,土地1建物1車位0,全,二層,透天厝,住家用,,68.88,3,2,2,有,無,23800000,345528.0,,0.0,0,,RPXNMLLJKHIGFDA57DA,68.88,0.0,0.0,無,,,112
松山區,房地(土地+建物),南京東路四段１３３巷９弄７號四樓,38.0,住,,,1111224,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,96.52,6,0,6,有,無,21500000,222752.0,,0.0,0,,RPWNMLTKJHIGFDA28DA,96.52,0.0,0.0,無,,,112
中山區,房地(土地+建物),民生東路二段１４７巷６弄８號,31.0,住,,,1111207,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,,77.43,3,2,1,有,無,21500000,277670.0,,0.0,0,其他增建；,RPOOMLTJLHIGFCA57DA,77.43,0.0,0.0,無,,,112
大安區,房地(土地+建物),通化街１４３巷２１號三樓,39.0,住,,,1111128,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,,112.64,3,2,2,有,無,26500000,235263.0,,0.0,0,陽台外推；其他增建；,RPVNMLPJNHIGFFA28DA,112.64,0.0,0.0,無,,,112
松山區,房地(土地+建物),八德路三段１５５巷４弄１之２號二樓,35.12,住,,,1120801,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,,101.22,3,2,1,有,無,21000000,207469.0,,0.0,0,,RPVNMLLJQHIGFDA97DA,101.22,0.0,0.0,無,93.0,,112
文山區,房地(土地+建物),興隆路三段１１６巷３弄１２號四樓,33.75,住,,,1120807,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,54.3,2,1,1,有,無,9000000,165746.0,,0.0,0,,RPTNMLMLQHIGFAA77DA,54.3,0.0,0.0,無,,,112
大安區,房地(土地+建物),和平東路二段７６巷３１弄１４號,29.12,住,,,1120708,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,,128.91,4,3,2,有,無,33660000,261112.0,,0.0,0,其他增建；,RPSNMLLLPHIGFFA97DA,81.38,47.53,0.0,無,,,112
信義區,房地(土地+建物),和平東路三段３９１巷７弄２８號,20.25,住,,,1120718,土地1建物1車位0,一層，露台,四層,公寓(5樓含以下無電梯),住家用,,59.55,2,3,1,有,無,16880000,283459.0,,0.0,0,露台加蓋、空地加蓋及庭院加蓋之增建物其他增建；,RPVNMLKLPHIGFDA97DA,59.55,0.0,0.0,無,,,112
大安區,房地(土地+建物),安和路一段１０２巷４號二樓,48.67,住,,,1120703,土地1建物1車位0,二層，陽台,五層,華廈(10層含以下有電梯),住家用,,182.51,4,2,2,有,無,48500000,265739.0,,0.0,0,陽台外推；其他增建；,RPXNMLQKQHIGFFA98DA,182.51,0.0,0.0,有,,,112
文山區,房地(土地+建物),興德路６２巷１６弄２號三樓,39.44,住,,,1120719,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,,114.26,4,2,2,有,無,15300000,133905.0,,0.0,0,陽台外推；,RPXNMLSJQHIGFAA58DA,96.11,0.0,18.15,無,,,112
萬華區,房地(土地+建物),寶興街１４０巷３２號三樓,28.33,住,,,1120717,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,,74.24,3,2,1,有,無,11080000,149246.0,,0.0,0,頂樓加蓋；,RPROMLOKQHIGFBA87DA,74.24,0.0,0.0,無,,,112
大安區,房地(土地+建物),基隆路三段２０之１號二樓,30.75,住,,,1120730,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,,113.49,8,0,8,有,無,24250000,213675.0,,0.0,0,陽台外推；其他增建；,RPVNMLNLQHIGFFA58DA,97.35,0.0,16.14,無,861.0,,112
文山區,房地(土地+建物),新光路一段１００號四樓,39.5,住,,,1120615,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,,104.28,4,2,1,有,無,10800000,103567.0,,0.0,0,,RPRNMLKMOHIGFAA27DA,104.28,0.0,0.0,無,,,112
松山區,房地(土地+建物),敦化南路一段８０巷２９號三樓,48.5,住,,,1120621,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,,127.98,3,2,2,有,無,27650000,216049.0,,0.0,0,,RPTNMLPJPHIGFDA18EA,127.98,0.0,0.0,無,,,112
大安區,房地(土地+建物),市民大道四段６４號二樓之１,17.98,住,,,1120621,土地1建物1車位0,二層，陽台,七層,華廈(10層含以下有電梯),住家用,,71.8,2,2,1,有,有,17500000,243733.0,,0.0,0,其他增建；,RPUNMLOJPHIGFFA28DA,71.8,0.0,0.0,有,,,112
南港區,房地(土地+建物),合順街８巷３弄３７號四樓,22.75,住,,,1120611,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,77.0,3,1,3,有,無,11800000,153247.0,,0.0,0,陽台外推；頂樓加蓋；,RPPNMLRLOHIGFDA97DA,77.0,0.0,0.0,無,1295.0,,112
松山區,房地(土地+建物),八德路四段１０６巷４弄５號四樓,30.75,住,,,1120604,土地2建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),住家用,,88.57,3,2,1,有,無,19000000,214520.0,,0.0,0,其他增建；,RPSNMLRJOHIGFDA08DA,88.57,0.0,0.0,無,,,112
大安區,房地(土地+建物),復興南路一段１０７巷５弄１０之１號,21.57,住,,,1120618,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,,90.44,3,2,2,有,有,30700000,339452.0,,0.0,0,其他增建；,RPQNMLKMOHIGFFA67DA,84.07,6.37,0.0,有,,,112
