交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
建物,木柵路一段２３８巷２１號,,,0,12.92,386914,0.0,,24.987094,121.553644,大坪林站出口5,1152
房地(土地+建物),星雲街２６號五樓,5.0,39.0,0,31.31,454738,0.0,,25.078094,121.590802,文德站出口1,524
房地(土地+建物),新生北路二段２７巷６號三樓,3.0,49.0,0,29.57,561392,0.0,,25.053654,121.528077,松江南京站出口1,479
房地(土地+建物)+車位,石牌路一段１６６巷２６號二樓,2.0,8.0,1,25.96,696524,0.0,,25.114005,121.51373,石牌站出口1,187
房地(土地+建物),金山南路二段１８５巷３號,1.0,52.0,0,35.99,833673,0.0,,25.028475,121.526676,古亭站出口5,409
房地(土地+建物),民權東路三段１６０巷２號十二樓之１,12.0,42.0,1,14.56,824215,0.0,,25.06169,121.547688,中山國中站出口,386
房地(土地+建物)+車位,重陽路４９１號四樓,4.0,14.0,1,38.35,915837,12.14,0.0,25.061108,121.612054,南港軟體園區站出口1,392
房地(土地+建物),港墘路２７巷９號四樓,4.0,39.0,0,34.24,481851,0.0,,25.082576,121.578843,港墘站出口1,410
房地(土地+建物)+車位,環河北路三段１１９號十三樓,13.0,19.0,1,83.85,626751,17.24,0.0,25.085096,121.506234,三重國小站出口,1872
房地(土地+建物),社中街２５０巷１號五樓,5.0,41.0,0,36.46,353810,0.0,,25.091975,121.507471,士林站出口1,1877
房地(土地+建物),仁愛路四段４１３號九樓,9.0,41.0,1,34.94,1184360,0.0,,25.038002,121.556185,國父紀念館站出口2,341
房地(土地+建物)+車位,長春路２５８巷１５號二樓之１,2.0,19.0,1,118.48,850466,33.23,0.0,25.054068,121.539263,南京復興站出口1,330
房地(土地+建物),八德路四段２４５巷３２弄３５號二樓之３,2.0,31.0,1,18.71,855176,0.0,,25.049813,121.563552,南京三民站出口2,163
房地(土地+建物),康樂街４８巷１６之１號二樓,2.0,37.0,0,27.5,490851,0.0,,25.069081,121.617569,東湖站出口3,608
房地(土地+建物),新興路１６６號二樓,2.0,41.0,0,22.8,298254,0.0,,25.138672,121.486751,復興崗站出口1,176
房地(土地+建物),木新路二段２１１巷６弄１４號二樓,2.0,41.0,0,33.73,418004,0.0,,24.983111,121.567476,萬芳社區站出口,1723
